"Progeny" "Sire" "Dam" "Sex" "G" "NMPrg" "NFPrg" "F" "Homo" "Phen" "Res" "Polygene" "QTL"
1 0 0 "M" 0 3 2 0 0.576667 2.37305598944229 -4.45778264836677 0 6.83083863780905
2 0 0 "M" 0 3 1 0 0.53 -15.4370485721393 -12.058565689643 0 -3.37848288249631
3 0 0 "M" 0 2 0 0 0.546667 -11.1208181109083 0.411263138456899 0 -11.5320812493652
4 0 0 "M" 0 2 2 0 0.576667 6.20203227079779 6.39388407571143 0 -0.191851804913635
5 0 0 "M" 0 2 3 0 0.56 5.90398424334791 -7.86554355912735 0 13.7695278024753
6 0 0 "M" 0 2 0 0 0.543333 9.74563114097992 -3.8548929809552 0 13.6005241219351
7 0 0 "M" 0 3 1 0 0.513333 -9.14461661800397 -4.75867884077706 0 -4.3859377772269
8 0 0 "M" 0 2 2 0 0.48 2.99759537031668 7.19750691474437 0 -4.19991154442769
9 0 0 "M" 0 2 1 0 0.53 2.25524311631964 -0.18505622887574 0 2.44029934519538
10 0 0 "M" 0 1 1 0 0.563333 -12.0303386662774 -13.7311775893855 0 1.70083892310806
11 0 0 "M" 0 3 3 0 0.57 -16.6584577725051 -9.82427827680338 0 -6.83417949570176
12 0 0 "M" 0 1 1 0 0.53 8.35716102857096 -5.54488701581857 0 13.9020480443895
13 0 0 "M" 0 1 1 0 0.583333 -6.55877163282525 1.21381188657659 0 -7.77258351940184
14 0 0 "M" 0 3 1 0 0.513333 4.4684341300936 -1.20872315937481 0 5.67715728946841
15 0 0 "M" 0 2 1 0 0.573333 -15.9713398118025 -13.3604104855461 0 -2.61092932625638
16 0 0 "M" 0 1 1 0 0.51 -8.56776084283742 1.70057481208407 0 -10.2683356549215
17 0 0 "M" 0 1 1 0 0.51 -1.35335780441495 1.55078715940733 0 -2.90414496382228
18 0 0 "M" 0 4 0 0 0.586667 -4.02772439549667 0.249318673672384 0 -4.27704306916905
19 0 0 "M" 0 2 2 0 0.536667 -14.5008423982165 -20.4658541402115 0 5.96501174199499
20 0 0 "M" 0 1 2 0 0.516667 -14.4824581064258 2.13154105608615 0 -16.6139991625119
21 0 0 "M" 0 2 2 0 0.533333 32.4581374879201 26.7007166431368 0 5.75742084478325
